2018-07-17 03:12:44 status installed ca-certificates:all 20161130+nmu1+deb9u1
2018-07-17 03:13:00 startup archives unpack
2018-07-17 03:13:00 install libassuan0:amd64 <none> 2.4.3-2
2018-07-17 03:13:00 status triggers-pending libc-bin:amd64 2.24-11+deb9u3
2018-07-17 03:13:00 status half-installed libassuan0:amd64 2.4.3-2
2018-07-17 03:13:00 status unpacked libassuan0:amd64 2.4.3-2
2018-07-17 03:13:00 status unpacked libassuan0:amd64 2.4.3-2
2018-07-17 03:13:00 install pinentry-curses:amd64 <none> 1.0.0-2
2018-07-17 03:13:00 status half-installed pinentry-curses:amd64 1.0.0-2
2018-07-17 03:13:00 status unpacked pinentry-curses:amd64 1.0.0-2
2018-07-17 03:13:00 status unpacked pinentry-curses:amd64 1.0.0-2
2018-07-17 03:13:00 install libnpth0:amd64 <none> 1.3-1
2018-07-17 03:13:00 status half-installed libnpth0:amd64 1.3-1
2018-07-17 03:13:00 status unpacked libnpth0:amd64 1.3-1
2018-07-17 03:13:00 status unpacked libnpth0:amd64 1.3-1
2018-07-17 03:13:00 install readline-common:all <none> 7.0-3
2018-07-17 03:13:00 status half-installed readline-common:all 7.0-3
2018-07-17 03:13:00 status unpacked readline-common:all 7.0-3
2018-07-17 03:13:00 status unpacked readline-common:all 7.0-3
2018-07-17 03:13:00 install libreadline7:amd64 <none> 7.0-3
2018-07-17 03:13:00 status half-installed libreadline7:amd64 7.0-3
2018-07-17 03:13:00 status unpacked libreadline7:amd64 7.0-3
2018-07-17 03:13:00 status unpacked libreadline7:amd64 7.0-3
2018-07-17 03:13:00 install gnupg-agent:amd64 <none> 2.1.18-8~deb9u2
2018-07-17 03:13:00 status half-installed gnupg-agent:amd64 2.1.18-8~deb9u2
2018-07-17 03:13:00 status unpacked gnupg-agent:amd64 2.1.18-8~deb9u2
2018-07-17 03:13:00 status unpacked gnupg-agent:amd64 2.1.18-8~deb9u2
2018-07-17 03:13:00 install libksba8:amd64 <none> 1.3.5-2
2018-07-17 03:13:00 status half-installed libksba8:amd64 1.3.5-2
2018-07-17 03:13:00 status unpacked libksba8:amd64 1.3.5-2
2018-07-17 03:13:00 status unpacked libksba8:amd64 1.3.5-2
2018-07-17 03:13:01 install libsqlite3-0:amd64 <none> 3.16.2-5+deb9u1
2018-07-17 03:13:01 status half-installed libsqlite3-0:amd64 3.16.2-5+deb9u1
2018-07-17 03:13:01 status unpacked libsqlite3-0:amd64 3.16.2-5+deb9u1
2018-07-17 03:13:01 status unpacked libsqlite3-0:amd64 3.16.2-5+deb9u1
2018-07-17 03:13:01 install gnupg:amd64 <none> 2.1.18-8~deb9u2
